order_id,product_id,add_to_cart_order,reordered
1523583,37203,3,0
2985500,35108,4,1
105797,37141,2,0
1872331,12834,7,0
1020675,48775,2,0
2233883,4605,16,1
2848236,29824,10,1
2244854,24561,32,1
2672039,36206,2,1
1800965,13176,9,0
3077614,39653,6,1
2810230,42585,2,0
507098,17867,5,1
3084309,30949,10,0
2788818,49235,2,1
2876146,6809,5,0
1241591,42813,7,0
746530,5620,5,1
1297624,37634,9,1
2022722,38273,6,0
1489874,8532,12,1
640962,35951,2,1
1497567,1890,7,0
2331095,27801,13,1
2283824,34358,10,0
3385849,19125,6,1
668318,2086,1,0
2606944,47209,1,1
1437264,5450,4,1
779877,23695,2,0
1296961,3043,1,0
2601250,888,3,0
2837926,36651,11,0
477870,22021,5,1
583039,30975,1,1
1681473,47441,4,1
2474201,49235,10,1
120468,42974,2,1
2115916,26002,3,0
426392,13512,11,0
1653213,9852,8,0
965882,22034,1,0
3063760,37436,12,1
586040,6184,3,0
2763686,49610,2,1
133265,28601,27,1
402367,42265,18,1
1847408,47766,4,0
2743489,21022,1,1
684535,13176,11,0
691675,1898,3,1
1853694,3233,9,0
772096,3990,4,1
2826682,37646,11,1
1150370,14901,4,0
3396366,44479,12,1
803008,21137,3,0
1593874,8424,17,0
3202682,3308,8,0
2836412,8912,8,1
2703040,24561,6,1
3274542,7388,6,1
3063742,43474,7,1
2643053,34126,12,1
1167610,13997,4,1
1091678,47209,2,1
1162375,5858,17,0
760809,17872,2,1
620700,28985,14,1
1681685,18168,9,0
1600180,365,1,1
1054621,27156,3,1
1630710,9290,3,1
1653744,16097,17,1
1207428,42509,12,0
1952520,6848,5,0
233665,9364,21,0
2338377,40199,30,0
86661,31130,9,0
2676611,45443,23,1
2588190,21903,4,1
1074154,45200,7,0
1183763,42016,1,1
458698,5539,13,1
1098633,9434,3,1
3126535,11182,8,1
3030419,22474,1,1
1779511,11198,29,0
1140088,21772,7,0
2000877,28289,7,1
3193985,24117,10,0
1450688,5115,5,1
2256629,41220,17,0
3311277,24791,8,1
1302129,24852,12,1
354515,36735,9,1
124840,47766,2,1
3184486,26940,8,1
1388269,2180,5,1
2135642,28682,12,0
2375498,10106,9,1
2206064,21903,5,1
1667133,43352,8,0
998926,1862,26,0
3109077,13176,13,0
114982,15765,11,0
288258,12325,22,0
1474414,35221,5,1
470486,8277,3,1
172371,58,7,0
1398622,44667,4,0
1054992,47319,7,0
1689933,32511,5,1
1697988,48857,2,1
707219,41372,24,1
1609797,5605,23,0
3082992,21903,5,0
626913,30638,1,1
1255989,36695,2,1
3391815,27344,1,1
2712369,31801,12,0
1651242,1468,25,0
2148337,20580,24,1
2450729,45007,4,1
787746,20226,23,1
1760879,46802,7,0
1572323,22035,5,1
2750948,45066,2,1
2904219,48222,2,1
1955637,12686,30,0
2315215,28459,10,0
1385605,24852,1,1
3049143,23543,4,1
353765,27966,7,1
626002,24631,5,1
2118996,20955,4,1
3199456,1559,4,1
2676405,32951,26,1
1641919,23543,4,1
3344487,17313,3,0
471714,19057,32,0
3400170,30151,1,1
2605361,19678,8,1
2593342,48290,10,0
2245680,48395,6,1
1902028,30633,1,1
1860260,9558,6,1
564576,17871,2,0
609306,30338,5,0
3177978,39719,14,0
2957138,22553,13,0
245891,33200,20,1
3330212,24852,8,1
653655,5876,4,1
1558607,21903,2,1
2765739,24004,24,0
903778,41787,17,1
1079090,41351,9,1
657259,44234,11,0
767287,41276,1,1
430199,692,4,0
2586416,12576,1,1
2709768,9766,4,1
1612844,18078,4,1
1452256,17072,24,0
3246286,9521,6,1
2711338,18523,5,1
2780669,46906,15,1
2484958,47209,2,1
990780,44560,14,1
2038466,7806,10,0
2605255,42392,1,1
2221492,11759,9,1
1496690,16154,49,1
2046395,35782,10,1
2872836,21461,46,0
1900146,33731,1,0
2387522,8053,2,0
2064639,48600,7,1
2455901,34497,4,0
3182726,37220,18,0
368489,45013,3,0
2509235,1556,4,0
803376,26521,6,1
3375775,21903,2,1
2116208,17835,11,1
539218,12872,8,1
1109577,18185,5,1
1261876,7781,25,1
3359698,2966,10,0
304371,22993,4,0
3297644,14390,5,1
907581,41271,2,0
2133320,24852,6,1
1159578,21137,11,1
2029108,31651,5,1
3156979,365,20,1
808234,20904,17,0
2602163,26373,8,0
162982,35786,11,0
2929793,160,19,0
489594,18234,18,1
291382,27966,6,1
2501372,14366,3,1
597137,35034,10,1
3396656,10957,23,0
2714506,30183,9,1
585028,25513,6,1
764457,44843,25,0
183602,9337,19,1
1715907,19389,9,0
1471740,45323,6,1
1748772,48118,4,0
225133,14252,16,1
449658,1450,16,1
616821,4595,25,1
2901737,29487,9,0
2345067,4550,5,0
1855030,5914,3,0
986907,25890,9,1
3269012,12290,16,0
3100709,15937,7,1
1378744,24852,1,1
3055412,2806,7,0
1876939,12524,10,0
1912926,44949,2,0
2827731,4086,17,0
855593,16185,9,1
2085414,43409,11,1
2162006,812,19,1
3331611,8865,15,0
942753,3638,24,1
214073,11018,1,0
82540,22959,5,1
2589419,46990,27,1
555581,20378,5,1
1652669,18523,1,1
3002349,37509,9,1
348083,6615,1,0
1626003,12403,1,0
1537041,23233,18,0
558271,37029,1,1
3070684,47766,28,0
992571,16953,12,0
100962,41290,2,1
2594676,41588,1,0
2208283,21019,16,0
2911987,10568,9,0
1872455,4920,4,1
797772,43875,5,1
1633860,28999,2,0
196797,28204,4,0
306685,40516,18,1
3194735,32141,2,1
3079418,8518,2,1
1367805,47697,10,0
3014780,13176,2,1
906643,25890,16,0
2966168,11984,14,1
2004444,17807,16,0
2168354,5876,9,0
3116279,40549,3,0
866541,34126,12,0
2402793,21351,2,0
1310711,11777,10,1
1485371,28597,17,0
2955670,25588,1,0
813587,16797,12,1
1395872,38723,9,1
2103669,20840,4,1
2635821,20802,1,1
1662307,22989,11,1
1587448,13966,9,1
2889020,43789,6,1
1570352,38159,8,1
160342,4210,4,1
2782179,25170,16,0
96312,14852,17,0
968809,49680,4,1
1403203,25718,4,1
2268319,15923,9,0
1674364,25931,10,1
282941,38490,11,0
313501,13829,3,0
1697437,29601,10,0
2505056,46138,13,0
3397070,17706,33,0
1627608,24852,3,1
2994258,29934,23,0
2144996,17872,4,1
2086085,47631,8,0
1352016,27510,7,1
2887684,18125,2,0
381615,31040,5,1
261750,21137,1,1
1293396,20883,15,0
630276,21171,10,0
1375951,39621,4,0
235339,14852,13,1
1669836,19250,21,0
170269,27307,5,1
2944345,15290,7,0
1062904,21010,9,1
3074739,6969,18,1
847195,43352,5,0
2158709,33705,28,1
3381911,8277,11,1
861378,25987,18,0
1882800,38218,3,0
3087122,39275,2,0
1191534,44668,15,0
1796556,31912,2,0
2369546,22362,2,1
1448522,4626,4,0
1916221,32689,13,1
22151,17541,3,1
2285418,22309,8,1
1956510,13629,4,0
699219,20285,7,1
3149691,3439,2,0
839016,3634,10,1
2449162,38596,3,1
2421349,24852,5,1
1905437,24239,3,1
1049334,7688,29,1
646772,40604,26,1
2335028,2029,5,0
550485,47626,8,0
1548628,45,7,1
225600,42372,16,1
1096653,14161,6,1
1409510,48726,4,0
2507265,16284,7,0
2791756,40706,3,1
2462711,22007,12,0
238839,13560,10,1
2282529,46226,1,1
1770537,11520,5,1
1152508,27086,1,1
2232459,37646,15,0
3334306,11794,4,1
1680675,15649,11,0
1558703,11629,8,1
1919917,21903,7,0
2697934,13176,4,1
2705845,22825,11,0
2614246,49383,26,0
2026244,9290,1,1
1053278,44359,10,1
2504075,22802,3,1
3125594,1117,24,1
2483315,36959,1,1
956522,31927,7,1
259850,17948,3,0
3003527,7521,9,0
1580473,19677,2,0
588768,27695,1,1
2671184,8021,4,0
872682,42265,4,0
1273432,28985,2,1
1369945,34056,2,0
2322635,31215,5,1
2832395,30756,14,1
850337,19178,7,1
1220114,747,2,1
502508,2091,2,0
2910371,25138,3,1
2274279,28601,14,1
2589103,48926,14,1
1691831,38557,2,1
320796,31970,10,0
2482818,13885,2,0
3244213,10673,2,1
1865340,27086,22,1
3208812,44359,2,1
1859594,26298,6,1
883569,47626,6,0
2224551,34660,4,0
3017334,196,2,1
217411,10749,6,0
1746953,10664,8,0
86624,18918,7,0
22093,31860,1,1
874550,18019,18,1
1225257,14992,10,0
3179449,49098,6,1
959283,7860,22,1
1316788,39275,4,1
2290179,16797,7,1
2059420,35336,9,1
736884,26209,6,1
1991978,40571,2,1
1542096,10246,7,0
2528903,16797,9,1
1136586,14886,14,1
1041884,43621,13,1
2675439,26901,3,1
302277,34350,1,0
1344398,15359,1,1
389896,28985,7,1
2312522,8730,6,1
223655,15410,32,1
1972681,12324,16,1
2307812,8670,6,0
2872918,13740,9,0
1933008,4347,9,1
1959850,28080,1,1
864245,3243,6,1
916495,22559,8,0
2548517,260,14,1
2231532,9808,7,1
1801051,31040,12,1
1784359,28571,8,1
2183978,21903,11,1
1679498,649,6,1
414161,25533,2,1
3245072,34466,5,0
292048,5369,2,0
1194069,20345,4,0
1891836,17008,3,1
708494,27316,2,1
2310461,12341,2,1
1769667,29987,11,1
55196,33303,12,1
960743,8424,11,1
3147255,21560,2,1
1701520,39427,8,1
3160146,21137,2,0
497050,44422,12,1
1014282,21551,3,0
172849,436,3,1
2934124,21137,2,0
871059,46626,22,0
1030575,39275,24,0
2861015,27241,7,1
2728410,10814,4,0
366976,46206,6,0
3297415,21903,4,1
2118921,17461,5,0
2409039,13269,4,1
2259190,40770,11,1
1816757,14967,8,1
1208673,17902,1,1
2835751,30489,22,0
1558604,47626,7,0
180146,46516,24,1
2619787,17794,4,1
149733,18594,28,1
3382032,30305,13,0
2867786,24852,1,1
3069391,24810,10,1
2364233,23879,25,0
2854617,28785,14,0
3392599,30434,20,0
476755,6182,2,1
381098,10193,7,1
758490,7877,14,0
3275256,32744,8,0
2418872,18761,3,0
3183318,39491,8,0
2706852,38185,15,0
1003624,1688,2,1
936001,18288,25,1
442550,27966,8,1
2107497,16797,13,1
1872084,651,1,1
2742584,5069,6,1
1129449,28985,10,0
2688550,4793,1,1
2095781,4942,1,1
872295,9837,10,1
1744146,8195,5,0
72598,21964,4,0
1991953,31066,1,0
1776426,13351,6,1
1190624,21543,6,0
3182222,44437,27,0
1484943,30777,12,1
1760857,38510,2,0
3217924,1215,7,1
3301508,33129,11,1
1450868,46107,5,1
453623,9837,6,1
2344324,5405,2,0
1760427,13176,1,1
1528275,30442,13,1
1484769,27966,2,1
3268782,21267,17,0
1101245,9076,10,0
887425,25890,19,1
3090714,15425,9,0
1206659,44632,7,1
320373,22241,8,0
1555362,19019,5,0
1789332,4595,8,0
2823800,48726,2,1
473706,9901,11,0
558351,25830,2,1
820783,49235,2,1
551447,33457,10,0
990553,20583,16,0
2528402,40153,3,1
1112493,39693,6,0
901509,283,8,0
1217865,8022,11,0
384639,40396,15,1
356213,44949,6,0
752584,19157,15,0
2218575,2488,23,1
2109316,5468,9,1
2239940,40277,28,1
2608630,46667,8,1
3082466,4724,3,1
2294660,3434,3,1
329164,31785,22,0
1281684,49247,1,1
1840937,2949,15,1
847123,5825,13,0
3396665,48543,21,0
1339529,42803,11,1
842347,31423,6,1
805165,17706,13,1
1895939,26856,9,1
3168758,13176,4,1
2829869,18531,8,1
3173750,27231,1,0
553100,48667,6,1
1703145,13176,2,1
1860659,29447,10,1
2835751,5383,4,0
2540218,21626,20,1
3222488,30169,5,0
605197,44661,5,1
4968,26322,2,0
672939,4920,5,1
1781451,42315,15,0
3197067,23165,16,0
2984305,18168,1,0
794267,21137,12,1
373070,29987,15,0
250934,5451,1,0
3094302,47977,4,1
54904,13423,20,1
2301723,14861,3,1
1291329,16840,33,1
1932915,40706,8,0
1852317,5612,5,1
2454421,47626,14,1
497050,31915,21,1
28279,38118,11,1
325850,21766,7,0
2986733,6867,4,1
1328950,8424,9,0
1512118,8025,24,0
1635899,39619,26,0
2607284,15040,5,0
3218163,21405,14,1
2828808,49235,12,0
1021592,27625,19,0
2591942,13176,6,1
1217867,19006,3,0
2773616,39958,7,1
2004746,14680,9,1
1244718,3438,5,1
1918613,47863,8,1
889655,45007,4,1
732215,26940,9,1
1840307,20899,6,1
1195159,39558,9,0
1389610,27900,13,1
183380,18465,4,1
1283308,12163,9,0
3343386,7925,2,0
662781,28204,16,0
3193393,3490,2,0
2384765,27548,28,1
1592732,13176,1,1
464185,17647,13,0
2657533,15411,11,0
2603165,5578,11,0
2260187,27203,8,1
2453263,47141,17,0
2019913,26165,7,1
3182643,24852,1,1
964245,10246,27,1
3250628,49480,6,0
1528006,14578,12,1
1902701,25466,4,1
3394858,277,1,1
3085389,22713,15,1
2399197,35989,4,1
2897036,43961,3,1
1245861,31555,19,0
764666,26955,8,1
409650,19051,1,0
510267,46572,3,1
2151725,27772,8,1
385109,41290,15,1
2786303,20876,38,0
799622,28842,6,1
2131173,21513,4,1
859666,24764,21,0
3375544,28985,6,1
1742335,21506,18,0
1652675,28204,4,0
428135,5337,7,1
2665813,23044,1,1
