articleId,productCode,departmentNo,prodName,productTypeName,graphicalAppearanceNo,graphicalAppearanceName,colourGroupCode,colourGroupName
108775015,108775,1676,Strap top,Vest top,1010016,Solid,9,Black
108775044,108775,1676,Strap top,Vest top,1010016,Solid,10,White
110065001,110065,1339,OP T-shirt (Idro),Bra,1010016,Solid,9,Black
111565001,111565,3608,20 den 1p Stockings,Underwear Tights,1010016,Solid,9,Black
111586001,111586,3608,Shape Up 30 den 1p Tights,Leggings/Tights,1010016,Solid,9,Black
111593001,111593,3608,Support 40 den 1p Tights,Underwear Tights,1010016,Solid,9,Black
111609001,111609,3608,200 den 1p Tights,Underwear Tights,1010016,Solid,9,Black
118458004,118458,5883,Jerry jogger bottoms,Trousers,1010010,Melange,7,Grey
118458029,118458,5883,Jerry jogger bottoms,Trousers,1010010,Melange,8,Dark Grey
120129001,120129,2032,Babette long,Leggings/Tights,1010016,Solid,9,Black
120129014,120129,2032,Babette long,Leggings/Tights,1010010,Melange,9,Black
123173001,123173,3608,Control Top 50 den 1p Tights,Leggings/Tights,1010016,Solid,9,Black
129085001,129085,1676,Pirate Leggings (1),Leggings/Tights,1010016,Solid,9,Black
129085026,129085,1676,Pirate Leggings (1),Leggings/Tights,1010016,Solid,10,White
129085027,129085,1676,Pirate Leggings (1),Leggings/Tights,1010010,Melange,7,Grey
130035001,130035,3419,Black Umbrella,Umbrella,1010016,Solid,9,Black
146706001,146706,6515,Tanktop body white 3PACK,Bodysuit,1010016,Solid,10,White
146721002,146721,4342,Hair Ring,Hair string,1010016,Solid,3,Silver
148033001,148033,3608,Nouvelle 1p Stay Up,Leggings/Tights,1010016,Solid,9,Black
153115019,153115,1339,OP Strapless^,Bra,1010016,Solid,9,Black
153115020,153115,1339,OP Strapless^,Bra,1010016,Solid,12,Light Beige
153115039,153115,1339,OP Strapless^,Bra,1010016,Solid,53,Dark Pink
156227001,156227,3608,Box 4p Kneehighs,Underwear Tights,1010016,Solid,9,Black
156231001,156231,3608,Box 4p Tights,Underwear Tights,1010016,Solid,9,Black
158340001,158340,3608,Highwaist 30 den 1p Tights,Leggings/Tights,1010016,Solid,9,Black
160442007,160442,3611,3p Sneaker Socks,Socks,1010016,Solid,9,Black
160442010,160442,3611,3p Sneaker Socks,Socks,1010016,Solid,10,White
160442043,160442,3611,3p Sneaker Socks,Socks,1010010,Melange,6,Light Grey
176209040,176209,5283,Mr Harrington w/hood,Hoodie,1010016,Solid,73,Dark Blue
179123001,179123,1676,Long Leggings,Leggings/Tights,1010016,Solid,9,Black
179208001,179208,3608,Control Top 100 den 1p Tights,Leggings/Tights,1010016,Solid,9,Black
179950001,179950,3509,Austin basic leather hip belt,Belt,1010016,Solid,9,Black
179950017,179950,3509,Austin basic leather hip belt,Belt,1010016,Solid,9,Black
181448022,181448,3937,Jenny 5-pack,Socks,1010016,Solid,9,Black
181448103,181448,3937,Jenny 5-pack,Socks,1010017,Stripe,50,Other Pink
181448109,181448,3937,Jenny 5-pack,Socks,1010006,Dot,22,Yellow
182909001,182909,3608,Fleece 1 p tights,Leggings/Tights,1010016,Solid,9,Black
186262001,186262,4343,4p Claw,Hair clip,1010016,Solid,9,Black
186262006,186262,4343,4p Claw,Hair clip,1010016,Solid,15,Greyish Beige
186266004,186266,4343,10p Basic Terry,Hair string,1010016,Solid,9,Black
186267001,186267,4343,12p Claw,Hair clip,1010016,Solid,9,Black
186372011,186372,1676,Harem trousers,Trousers,1010016,Solid,9,Black
186372045,186372,1676,Harem trousers,Trousers,1010001,All over pattern,73,Dark Blue
188183001,188183,4242,Spanx alot shape Swimsuit,Swimsuit,1010016,Solid,9,Black
188183015,188183,4242,Spanx alot Swimsuit,Swimsuit,1010016,Solid,93,Dark Green
188183016,188183,4242,Spanx alot Swimsuit,Swimsuit,1010017,Stripe,9,Black
